MONTH,MONTHNUM,STATE,PERIOD,SEASON,CROP,Generic.Name
Mar,3,Maharashtra,Harvesting,rabi,wheat,Wheat
Oct,10,Odisha,Sowing,rabi,wheat,Wheat
Nov,11,Odisha,Sowing,rabi,wheat,Wheat
Mar,3,Odisha,Harvesting,rabi,wheat,Wheat
Apr,4,Odisha,Harvesting,rabi,wheat,Wheat
Oct,10,Punjab,Sowing,rabi,wheat,Wheat
Nov,11,Punjab,Sowing,rabi,wheat,Wheat
Apr,4,Punjab,Harvesting,rabi,wheat,Wheat
May,5,Punjab,Harvesting,rabi,wheat,Wheat
Nov,11,Rajasthan,Sowing,rabi,wheat,Wheat
Dec,12,Rajasthan,Sowing,rabi,wheat,Wheat
Mar,3,Rajasthan,Harvesting,rabi,wheat,Wheat
Apr,4,Rajasthan,Harvesting,rabi,wheat,Wheat
Oct,10,Uttar Pradesh,Sowing,rabi,wheat,Wheat
Nov,11,Uttar Pradesh,Sowing,rabi,wheat,Wheat
Dec,12,Uttar Pradesh,Sowing,rabi,wheat,Wheat
Apr,4,Uttar Pradesh,Harvesting,rabi,wheat,Wheat
Nov,11,West Bengal,Sowing,rabi,wheat,Wheat
Dec,12,West Bengal,Sowing,rabi,wheat,Wheat
Mar,3,West Bengal,Harvesting,rabi,wheat,Wheat
Apr,4,West Bengal,Harvesting,rabi,wheat,Wheat
Oct,10,All India,Sowing,rabi,wheat,Wheat
Nov,11,All India,Sowing,rabi,wheat,Wheat
Dec,12,All India,Sowing,rabi,wheat,Wheat
Feb,2,All India,Harvesting,rabi,wheat,Wheat
Mar,3,All India,Harvesting,rabi,wheat,Wheat
Apr,4,All India,Harvesting,rabi,wheat,Wheat
May,5,All India,Harvesting,rabi,wheat,Wheat
Jun,6,All India,Harvesting,rabi,wheat,Wheat
Jun,6,Andhra Pradesh,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Andhra Pradesh,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Andhra Pradesh,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Karnataka,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Karnataka,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Karnataka,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Maharashtra,Sowing,early kharif,arhar/tur,Arhar
Dec,12,Maharashtra,Harvesting,early kharif,arhar/tur,Arhar
Jan,1,Maharashtra,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Rajasthan,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Rajasthan,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Rajasthan,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Uttar Pradesh,Sowing,early kharif,arhar/tur,Arhar
Dec,12,Uttar Pradesh,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Tamil Nadu,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Tamil Nadu,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Tamil Nadu,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Gujarat,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Gujarat,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Gujarat,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Madhya Pradesh,Sowing,early kharif,arhar/tur,Arhar
Jun,6,Madhya Pradesh,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Uttarakhand,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Uttarakhand,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Uttarakhand,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Odisha,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Odisha,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Odisha,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Haryana,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Haryana,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Haryana,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Punjab,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Punjab,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Punjab,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Jharkhand,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Jharkhand,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Jharkhand,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Chhattisgarh,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Chhattisgarh,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Chhattisgarh,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Tripura,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Tripura,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Tripura,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Nagaland,Sowing,early kharif,arhar/tur,Arhar
Nov,11,Nagaland,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,Nagaland,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,All India,Sowing,early kharif,arhar/tur,Arhar
Nov,11,All India,Harvesting,early kharif,arhar/tur,Arhar
Dec,12,All India,Harvesting,early kharif,arhar/tur,Arhar
Jan,1,All India,Harvesting,early kharif,arhar/tur,Arhar
Jun,6,Andhra Pradesh,Sowing,kharif,arhar/tur,Arhar
Jul,7,Andhra Pradesh,Sowing,kharif,arhar/tur,Arhar
Dec,12,Andhra Pradesh,Harvesting,kharif,arhar/tur,Arhar
Jan,1,Andhra Pradesh,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Karnataka,Sowing,kharif,arhar/tur,Arhar
Jul,7,Karnataka,Sowing,kharif,arhar/tur,Arhar
Dec,12,Karnataka,Harvesting,kharif,arhar/tur,Arhar
Jan,1,Karnataka,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Maharashtra,Sowing,kharif,arhar/tur,Arhar
Jul,7,Maharashtra,Sowing,kharif,arhar/tur,Arhar
Dec,12,Maharashtra,Harvesting,kharif,arhar/tur,Arhar
Jan,1,Maharashtra,Harvesting,kharif,arhar/tur,Arhar
